"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPS12",1.80631654516491e-144,0.735024787572636,1,0.991,2.47718251003916e-140,"0","RPS12"
"RPS6",7.13589988501507e-142,0.67986218264701,1,0.995,9.78617310230966e-138,"0","RPS6"
"RPS27",5.25782036312759e-140,0.720781866851247,0.999,0.992,7.21057484599317e-136,"0","RPS27"
"RPL32",4.22958179396478e-136,0.611551469147911,0.999,0.995,5.80044847224329e-132,"0","RPL32"
"RPS14",1.79901929153539e-130,0.619918265479703,1,0.994,2.46717505641164e-126,"0","RPS14"
"RPS25",5.50729809745179e-123,0.744249135679358,0.997,0.975,7.55270861084538e-119,"0","RPS25"
"RPS3",1.41244992632302e-117,0.609486553152093,1,0.994,1.93703382895939e-113,"0","RPS3"
"RPL9",3.65762347054444e-117,0.744311163203346,0.994,0.971,5.01606482750464e-113,"0","RPL9"
"RPL13",7.36876685036693e-117,0.565175059974385,1,0.996,1.01055268585932e-112,"0","RPL13"
"RPL31",2.74696079080895e-116,0.739659354006855,0.996,0.964,3.76718202851539e-112,"0","RPL31"
"RPL3",6.39878170311681e-113,0.60902945557245,0.997,0.995,8.7752892276544e-109,"0","RPL3"
"RPL21",3.60975551853485e-111,0.670441383223151,0.997,0.991,4.95041871811869e-107,"0","RPL21"
"RPS3A",3.8602495785539e-110,0.779372622396776,0.99,0.977,5.29394627202882e-106,"0","RPS3A"
"RPL30",8.61536796160045e-110,0.66752802730713,0.997,0.98,1.18151156225389e-105,"0","RPL30"
"LDHB",1.74095718368189e-109,1.06916576423144,0.897,0.593,2.38754868170134e-105,"0","LDHB"
"RPS15A",1.39476719792003e-105,0.62676741262404,0.997,0.983,1.91278373522752e-101,"0","RPS15A"
"RPLP2",4.36398859366939e-103,0.59478649380765,1,0.99,5.98477395735819e-99,"0","RPLP2"
"RPS27A",2.67463381970911e-101,0.746892310263025,0.994,0.966,3.66799282034908e-97,"0","RPS27A"
"EEF1A1",1.7597795298355e-98,0.52707940394418,0.994,0.991,2.41336164721641e-94,"0","EEF1A1"
"MALAT1",6.43435036053102e-98,0.683483011503743,1,0.999,8.82406808443225e-94,"0","MALAT1"
"RPL13A",1.92784220068804e-92,0.473829835773514,1,0.999,2.64384279402357e-88,"0","RPL13A"
"RPS18",2.02677596542243e-92,0.512718167358837,1,0.996,2.77952055898032e-88,"0","RPS18"
"RPS13",2.31674563838378e-92,0.672397546229798,0.982,0.963,3.17718496847952e-88,"0","RPS13"
"RPL27A",4.3227734566543e-92,0.533438370402235,0.999,0.988,5.9282515184557e-88,"0","RPL27A"
"RPL11",6.44832247419449e-90,0.458760190698781,1,0.995,8.84322944111032e-86,"0","RPL11"
"RPL35A",1.42484447394404e-89,0.562252892539054,0.997,0.981,1.95403171156685e-85,"0","RPL35A"
"RPS29",5.05613805024506e-89,0.744481257822649,0.987,0.905,6.93398772210608e-85,"0","RPS29"
"RPS28",7.81088907991007e-89,0.626343044934486,0.989,0.969,1.07118532841887e-84,"0","RPS28"
"RPL23A",1.15859392045915e-87,0.56591469961737,1,0.988,1.58889570251768e-83,"0","RPL23A"
"RPS23",9.56324442228313e-86,0.569685213637964,0.997,0.977,1.31150334007191e-81,"0","RPS23"
"CCR7",1.16763171302843e-83,1.33350348771953,0.435,0.108,1.60129013124718e-79,"0","CCR7"
"TPT1",2.21012594119011e-82,0.587868100317039,0.996,0.982,3.03096671574811e-78,"0","TPT1"
"RPS20",1.84443322836872e-81,0.667223666412161,0.987,0.942,2.52945572938486e-77,"0","RPS20"
"RPS4X",2.90355012852653e-79,0.511549871213824,0.997,0.992,3.98192864626128e-75,"0","RPS4X"
"CD3D",8.93945136307275e-79,0.954117607881569,0.838,0.403,1.2259563599318e-74,"0","CD3D"
"RPL5",5.56575800208309e-78,0.59585119466723,0.987,0.969,7.63288052405675e-74,"0","RPL5"
"RPS16",6.98226076570158e-77,0.534288577519675,0.996,0.982,9.57547241408314e-73,"0","RPS16"
"RPL19",1.01765025920056e-68,0.380119573037142,0.999,0.993,1.39560556546764e-64,"0","RPL19"
"RPL10",3.42021150852189e-68,0.347922637742309,1,0.997,4.69047806278692e-64,"0","RPL10"
"RPSA",2.6395868583735e-66,0.56648846706319,0.987,0.948,3.61992941757342e-62,"0","RPSA"
"RPL10A",3.02521184927454e-66,0.499619869696275,0.99,0.985,4.1487755300951e-62,"0","RPL10A"
"RPS10",2.83775301357665e-61,0.529174661384299,0.987,0.969,3.89169448281901e-57,"0","RPS10"
"RPL14",4.89905513317746e-60,0.423253585272661,0.994,0.985,6.71856420963957e-56,"0","RPL14"
"RPS5",1.56979007769919e-59,0.49198158500305,0.99,0.975,2.15281011255667e-55,"0","RPS5"
"RPS15",1.81176065029041e-57,0.397021508418029,0.999,0.989,2.48464855580826e-53,"0","RPS15"
"RPLP0",1.57381442792987e-55,0.518417782135635,0.985,0.939,2.15832910646303e-51,"0","RPLP0"
"NPM1",2.55028288905811e-55,0.721980430971482,0.91,0.8,3.49745795405429e-51,"0","NPM1"
"RPL36",6.9418029171215e-55,0.518323178919656,0.985,0.949,9.51998852054043e-51,"0","RPL36"
"RPL18",1.35489843478142e-54,0.497070096861711,0.997,0.979,1.85810771345923e-50,"0","RPL18"
"CD3E",3.05316996392769e-53,0.848885345989926,0.722,0.399,4.18711728853044e-49,"0","CD3E"
"RPL4",4.12402718146853e-52,0.519872723541294,0.99,0.957,5.65569087666595e-48,"0","RPL4"
"LEF1",3.28414981390463e-49,1.05127513899923,0.333,0.103,4.50388305478881e-45,"0","LEF1"
"NOSIP",6.65603069607414e-49,0.98344370261445,0.623,0.358,9.12808049659607e-45,"0","NOSIP"
"RPL7",1.92161598470395e-48,0.546299841368899,0.977,0.967,2.63530416142299e-44,"0","RPL7"
"RPL22",1.16991045467811e-47,0.649289976213167,0.9,0.779,1.60441519754555e-43,"0","RPL22"
"RPL36A",3.28212033886302e-47,0.550486941509182,0.955,0.89,4.50109983271675e-43,"0","RPL36A"
"EEF1B2",1.92176747676769e-46,0.536261798668088,0.937,0.87,2.63551191763921e-42,"0","EEF1B2"
"RPS19",2.2398507603143e-46,0.35943717353112,0.997,0.992,3.07173133269504e-42,"0","RPS19"
"RPS8",6.1856934191696e-46,0.424275506619601,0.997,0.984,8.48305995504919e-42,"0","RPS8"
"RPS2",1.54803692114427e-45,0.317542190942716,1,0.995,2.12297783365726e-41,"0","RPS2"
"RPL18A",2.12558423969267e-45,0.31595888111424,0.999,0.992,2.91502622631453e-41,"0","RPL18A"
"PRKCQ-AS1",9.30852031186229e-44,1.02747399102726,0.328,0.11,1.2765704755688e-39,"0","PRKCQ-AS1"
"RPL17",1.02202822235349e-43,0.434237513792209,0.972,0.959,1.40160950413557e-39,"0","RPL17"
"JUNB",1.09384942049235e-43,0.699694247722978,0.913,0.904,1.50010509526321e-39,"0","JUNB"
"PIK3IP1",4.68867438844105e-43,0.945997160801447,0.435,0.184,6.43004805630805e-39,"0","PIK3IP1"
"TMEM66",2.60499550942666e-41,0.718101777277884,0.837,0.701,3.57249084162773e-37,"0","TMEM66"
"BTG1",1.5811866435665e-40,0.570376475754188,0.937,0.86,2.1684393629871e-36,"0","BTG1"
"GLTSCR2",3.49041784304003e-40,0.559708894750799,0.906,0.807,4.78675902994509e-36,"0","GLTSCR2"
"RPS26",9.64697835580781e-40,0.486017264393528,0.956,0.9,1.32298661171548e-35,"0","RPS26"
"CD7",1.6852395420687e-39,0.686043397313955,0.571,0.293,2.31113750799301e-35,"0","CD7"
"RPL35",5.26065381064659e-38,0.409762355619559,0.986,0.966,7.21446063592073e-34,"0","RPL35"
